Date,Industry,Unemployed(thousands)
2023-01-01,"Agriculture, forestry, fishing, mining, energy & water",8.0
2023-01-01,Manufacturing,69.0
2023-01-01,Construction,52.0
2023-01-01,"Wholesale, retail & repair of motor vehicles",157.0
2023-01-01,Transport & storage,56.0
2023-02-01,"Agriculture, forestry, fishing, mining, energy & water",11.0
2023-02-01,Manufacturing,76.0
2023-02-01,Construction,52.0
2023-02-01,"Wholesale, retail & repair of motor vehicles",168.0
2023-02-01,Transport & storage,61.0
2023-03-01,"Agriculture, forestry, fishing, mining, energy & water",11.0
2023-03-01,Manufacturing,77.0
2023-03-01,Construction,59.0
2023-03-01,"Wholesale, retail & repair of motor vehicles",159.0
2023-03-01,Transport & storage,62.0
2023-04-01,"Agriculture, forestry, fishing, mining, energy & water",14.0
2023-04-01,Manufacturing,79.0
2023-04-01,Construction,55.0
2023-04-01,"Wholesale, retail & repair of motor vehicles",146.0
2023-04-01,Transport & storage,63.0
2023-05-01,"Agriculture, forestry, fishing, mining, energy & water",11.0
2023-05-01,Manufacturing,93.0
2023-05-01,Construction,44.0
2023-05-01,"Wholesale, retail & repair of motor vehicles",173.0
2023-05-01,Transport & storage,72.0
2023-06-01,"Agriculture, forestry, fishing, mining, energy & water",15.0
2023-06-01,Manufacturing,96.0
2023-06-01,Construction,37.0
2023-06-01,"Wholesale, retail & repair of motor vehicles",189.0
2023-06-01,Transport & storage,78.0
2023-07-01,"Agriculture, forestry, fishing, mining, energy & water",17.0
2023-07-01,Manufacturing,92.0
2023-07-01,Construction,40.0
2023-07-01,"Wholesale, retail & repair of motor vehicles",208.0
2023-07-01,Transport & storage,83.0
2023-08-01,"Agriculture, forestry, fishing, mining, energy & water",12.0
2023-08-01,Manufacturing,83.0
2023-08-01,Construction,36.0
2023-08-01,"Wholesale, retail & repair of motor vehicles",171.0
2023-08-01,Transport & storage,74.0
2023-09-01,"Agriculture, forestry, fishing, mining, energy & water",12.0
2023-09-01,Manufacturing,75.0
2023-09-01,Construction,33.0
2023-09-01,"Wholesale, retail & repair of motor vehicles",162.0
2023-09-01,Transport & storage,65.0
2023-10-01,"Agriculture, forestry, fishing, mining, energy & water",7.0
2023-10-01,Manufacturing,62.0
2023-10-01,Construction,28.0
2023-10-01,"Wholesale, retail & repair of motor vehicles",148.0
2023-10-01,Transport & storage,57.0
2023-11-01,"Agriculture, forestry, fishing, mining, energy & water",14.0
2023-11-01,Manufacturing,55.0
2023-11-01,Construction,35.0
2023-11-01,"Wholesale, retail & repair of motor vehicles",131.0
2023-11-01,Transport & storage,55.0
2023-12-01,"Agriculture, forestry, fishing, mining, energy & water",16.0
2023-12-01,Manufacturing,64.0
2023-12-01,Construction,38.0
2023-12-01,"Wholesale, retail & repair of motor vehicles",112.0
2023-12-01,Transport & storage,65.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
