COUNTRY,YEAR,PRODUCT,VALUE
Denmark,2010,Non-renewables,2801.91
Denmark,2010,Renewables,1251.007
Denmark,2011,Non-renewables,2775.842
Denmark,2011,Renewables,1178.069
Denmark,2012,Non-renewables,1874.395
Denmark,2012,Renewables,1527.581
Denmark,2013,Non-renewables,2118.587
Denmark,2013,Renewables,1459.22
Denmark,2014,Non-renewables,1609.438
Denmark,2014,Renewables,2521.878
Denmark,2015,Non-renewables,1405.056
Denmark,2015,Renewables,2062.181
Denmark,2016,Non-renewables,1413.195
Denmark,2016,Renewables,2034.381
Denmark,2017,Non-renewables,1241.458
Denmark,2017,Renewables,1844.214
Denmark,2018,Non-renewables,1029.368045
Denmark,2018,Renewables,2142.638802
Denmark,2019,Non-renewables,1123.050851
Denmark,2019,Renewables,2297.227813
Denmark,2020,Non-renewables,711.31491
Denmark,2020,Renewables,2954.391553
Denmark,2021,Non-renewables,993.49698
Denmark,2021,Renewables,2206.608835
Denmark,2022,Non-renewables,753.151684
Denmark,2022,Renewables,3185.874125
Denmark,2023,Non-renewables,528.052623
Denmark,2023,Renewables,3061.338644
Denmark,2024,Non-renewables,682.303285
Denmark,2024,Renewables,3261.321099
Finland,2010,Non-renewables,6079.894
Finland,2010,Renewables,2221.651
Finland,2011,Non-renewables,6018.98
Finland,2011,Renewables,2133.605
Finland,2012,Non-renewables,4331.913
Finland,2012,Renewables,2405.12
Finland,2013,Non-renewables,4530.401
Finland,2013,Renewables,2579.74
Finland,2014,Non-renewables,4467.261
Finland,2014,Renewables,2795.913
Finland,2015,Non-renewables,4030.484
Finland,2015,Renewables,2452.837
Finland,2016,Non-renewables,4268.941697
Finland,2016,Renewables,2858.078122
Finland,2017,Non-renewables,3787.538883
Finland,2017,Renewables,2799.37655
Finland,2018,Non-renewables,3764.227712
Finland,2018,Renewables,3129.802135
Finland,2019,Non-renewables,4071.170157
Finland,2019,Renewables,2864.493312
Finland,2020,Non-renewables,3245.477624
Finland,2020,Renewables,3422.9502
Finland,2021,Non-renewables,3658.947564
Finland,2021,Renewables,3298.329023
Finland,2022,Non-renewables,3068.732707
Finland,2022,Renewables,3627.936796
Finland,2023,Non-renewables,3078.078371
Finland,2023,Renewables,4303.017011
Finland,2024,Non-renewables,3999.667452
Finland,2024,Renewables,4565.378735
Norway,2010,Non-renewables,424.353
Norway,2010,Renewables,14302.579
Norway,2011,Non-renewables,552.883
Norway,2011,Renewables,10662.545
Norway,2012,Non-renewables,249.27
Norway,2012,Renewables,15105.003
Norway,2013,Non-renewables,286.99
Norway,2013,Renewables,14232.313
Norway,2014,Non-renewables,295.951
Norway,2014,Renewables,14242.197
Norway,2015,Non-renewables,278.867
Norway,2015,Renewables,14372.486
Norway,2016,Non-renewables,297.683
Norway,2016,Renewables,15994.153
Norway,2017,Non-renewables,281.454
Norway,2017,Renewables,14996.291
Norway,2018,Non-renewables,278.747322
Norway,2018,Renewables,15308.934127
Norway,2019,Non-renewables,249.587438
Norway,2019,Renewables,14405.08843
Norway,2020,Non-renewables,264.187544
Norway,2020,Renewables,13061.918027
Norway,2021,Non-renewables,115.84952
Norway,2021,Renewables,17338.611405
Norway,2022,Non-renewables,140.550745
Norway,2022,Renewables,14946.114781
Norway,2023,Non-renewables,204.350147
Norway,2023,Renewables,13931.432435
Norway,2024,Non-renewables,188.752885
Norway,2024,Renewables,15432.999138
Sweden,2010,Non-renewables,5740.425
Sweden,2010,Renewables,8998.13
Sweden,2011,Non-renewables,7329.062
Sweden,2011,Renewables,7494.818
Sweden,2012,Non-renewables,5879.256
Sweden,2012,Renewables,9396.852
Sweden,2013,Non-renewables,6839.0
Sweden,2013,Renewables,9581.207
Sweden,2014,Non-renewables,6821.455
Sweden,2014,Renewables,9162.215
Sweden,2015,Non-renewables,6056.272
Sweden,2015,Renewables,8992.185
Sweden,2016,Non-renewables,6702.191132
Sweden,2016,Renewables,9936.819093
Sweden,2017,Non-renewables,7130.947108
Sweden,2017,Renewables,9182.696395
Sweden,2018,Non-renewables,6663.281467
Sweden,2018,Renewables,9626.483974
Sweden,2019,Non-renewables,6672.501052
Sweden,2019,Renewables,9772.044196
Sweden,2020,Non-renewables,6011.404039
Sweden,2020,Renewables,10793.764661
Sweden,2021,Non-renewables,5347.19697
Sweden,2021,Renewables,11138.492846
Sweden,2022,Non-renewables,5257.010926
Sweden,2022,Renewables,11909.494314
Sweden,2023,Non-renewables,4562.728468
Sweden,2023,Renewables,11382.082147
Sweden,2024,Non-renewables,4942.134278
Sweden,2024,Renewables,12350.345649
